tspan	CoRaDyn(bC)
1.0	0.9998403724760315
1.7028861970519966	0.9995469077163316
2.899821400110211	0.9987298653532781
4.938065836163673	0.9965408658296958
8.408964152537145	0.9910435685446114
14.319508986860544	0.9782550086722525
24.384494202286838	0.9518018890831701
41.52401859916869	0.9484236746025557
70.71067811865474	0.8985372727543796
120.4122377524438	0.8126983666169189
205.0483376247799	0.7212334985863061
349.17398386969523	0.5782085139192633
594.6035575013605	0.43936237686196083
1012.5421907870799	0.30970506145887633
1724.2441206241076	0.22145463441961533
2936.1915133588504	0.17130833500520543
4999.999999999999	0.14724314932913504
