tspan	CoRaDyn(bC)
1.0	0.9989206495986012
1.7028861970519966	0.995635501338013
2.899821400110211	0.9851496051471991
4.938065836163673	0.9655459655357418
8.408964152537145	0.9427693035536402
14.319508986860544	0.9156264225679768
24.384494202286838	0.8977006930086807
41.52401859916869	0.8396090251932999
70.71067811865474	0.7705563158333385
120.4122377524438	0.6747593409898992
205.0483376247799	0.5170506954884783
349.17398386969523	0.3663323414576281
594.6035575013605	0.20850196489235864
1012.5421907870799	0.1040360174497109
1724.2441206241076	0.05140456665078696
2936.1915133588504	0.027152365501440665
4999.999999999999	0.015033119500292461
