tspan	CoRaDyn(bC)
1.0	0.9989042604120324
1.7028861970519966	0.9955331171635418
2.899821400110211	0.9845431502296631
4.938065836163673	0.9622912604861498
8.408964152537145	0.926770119654491
14.319508986860544	0.8449473633777134
24.384494202286838	0.6306714139040778
41.52401859916869	0.43144781409583255
70.71067811865474	0.3638631862785028
120.4122377524438	0.32510562655091374
205.0483376247799	0.26038124689139847
349.17398386969523	0.19862231760076476
594.6035575013605	0.13624312129403787
1012.5421907870799	0.08487246727710678
1724.2441206241076	0.05023331645954999
2936.1915133588504	0.02944554153971236
4999.999999999999	0.01726754283924477
