bC	FB	rho	time	Z1	Z2	X1	XC	A	M
0.01	1	0.0105	500.05767877530855	16666.664640398645	1.800464072525675	9999.999997858367	1000.2875637627277	83.41164353908525	993.7169524175824	NaN
0.01	1	0.0105	500.0823351306231	16666.662281077086	1.800684790491467	9999.999993237527	1000.4099855250479	83.39905917682015	993.7176231159594	NaN
0.01	1	0.0105	500.10966066952824	16666.658609334976	1.8009288872877516	9999.999983219683	1000.5453079367034	83.38006708360096	993.7190097947781	NaN
0.01	1	0.0105	500.14170581008005	16666.65289160099	1.8012144497593594	9999.999962558812	1000.7035325318283	83.35115718203663	993.7217787525794	NaN
0.01	1	0.0105	500.17676101023096	16666.644896767917	1.8015259799151446	9999.99992568688	1000.876039724786	83.31150820948788	993.7266033049434	NaN
0.01	1	0.0105	500.21517259028144	16666.63405627386	1.801866314769323	9999.999863835223	1001.0643706404527	83.25870490690647	993.7345440022636	NaN
0.01	1	0.0105	500.2561261489949	16666.620111589156	1.802227998521384	9999.999767818088	1001.2643695665521	83.19199314617143	993.7466727232638	NaN
0.01	1	0.0105	500.2994567320595	16666.602686626546	1.8026093619745234	9999.999626022418	1001.4750869036554	83.1101838834529	993.7643231305733	NaN
0.01	1	0.0105	500.3446924228111	16666.581578170943	1.8030060586192143	9999.999426520119	1001.694096750554	83.01305758056193	993.7888119672825	NaN
0.01	1	0.0105	500.39157731023346	16666.5565692341	1.8034156790301688	9999.999156023276	1001.9200479891811	82.90047266998312	993.821559684379	NaN
0.01	1	0.0105	500.43980053729786	16666.527537209677	1.8038353657447486	9999.998801167218	1002.1513463737466	82.77285791443234	993.8639218959574	NaN
0.01	1	0.0105	500.48913706369416	16666.494378753516	1.8042630430406132	9999.998348092737	1002.386832893659	82.63085343260849	993.9172312017977	NaN
0.01	1	0.0105	500.5393713074151	16666.457042991733	1.8046967461062375	9999.997783116436	1002.6254132751532	82.47543950458439	993.9827087339349	NaN
0.01	1	0.0105	500.5903323624649	16666.41550066246	1.805134922786896	9999.997092589658	1002.8662236829439	82.30778095824577	994.0614745822527	NaN
0.01	1	0.0105	500.64187385353125	16666.36974821614	1.8055762543080163	9999.996263146802	1003.1085314206277	82.12922406814492	994.1545137769359	NaN
0.01	1	0.0105	500.69387712291785	16666.31979665433	1.8060196784640472	9999.995281680249	1003.3517471373581	81.9412303798464	994.2626756941571	NaN
0.01	1	0.0105	500.7462450950741	16666.26566849009	1.806464332908955	9999.994135391513	1003.5953931565112	81.74534617822606	994.386665953979	NaN
0.01	1	0.0105	500.79890158002814	16666.20739088896	1.806909545515039	9999.992811723732	1003.8390977097752	81.54316015821007	994.5270524480203	NaN
0.01	1	0.0105	500.85178744461143	16666.144992763133	1.807354798489047	9999.9912983285	1004.0825748366912	81.33627932133841	994.6842680257508	NaN
0.01	1	0.0105	500.9048586971533	16666.078500997883	1.807799709281739	9999.989582981545	1004.3256135565347	81.12630470611067	994.8586188847465	NaN
0.01	1	0.0105	500.95808391460804	16666.007938385614	1.8082440064196568	9999.987653510509	1004.5680643231586	80.91481583109665	995.0502915632823	NaN
0.01	1	0.0105	501.01144231839135	16665.933321756944	1.8086875112717549	9999.985497708709	1004.8098287869915	80.70335804365602	995.2593611144423	NaN
0.01	1	0.0105	501.06492184993186	16665.85466096972	1.809130120235144	9999.983103257922	1005.0508498413462	80.4934343737307	995.4857979816287	NaN
0.01	1	0.0105	501.11851752256956	16665.771958322417	1.8095717896162704	9999.980457655427	1005.2911031909827	80.28649988118246	995.7294740660642	NaN
0.01	1	0.0105	501.17222994145806	16665.685208428567	1.810012522250402	9999.977548151302	1005.5305899137182	80.08395804767386	995.9901674656967	NaN
0.01	1	0.0105	501.22606395584813	16665.5943985234	1.8104523555246612	9999.97436169998	1005.7693298275443	79.88715854617968	996.2675656750714	NaN
0.01	1	0.0105	501.2800274920652	16665.49950904289	1.8108913511608244	9999.970884924769	1006.0073558514348	79.69739549800454	996.561267585213	NaN
0.01	1	0.0105	501.3341305019125	16665.400514499957	1.8113295861826126	9999.96710409928	1006.244709041951	79.51590587354794	996.8707842022657	NaN
0.01	1	0.0105	501.38838403045975	16665.297384586527	1.8117671450681485	9999.963005146039	1006.481434301741	79.34386753242353	997.1955383828407	NaN
0.01	1	0.0105	501.44279941740933	16665.190085408653	1.8122041131696671	9999.958573650832	1006.7175767999316	79.18239649722759	997.5348640393701	NaN
0.01	1	0.0105	501.4973875704412	16665.07858091252	1.8126405708745805	9999.953794896775	1006.9531788159048	79.03254340866206	997.8880048496076	NaN
0.01	1	0.0105	501.55215840082803	16664.96283426884	1.813076589206237	9999.948653909696	1007.1882773801772	78.89528876017455	998.2541134539174	NaN
0.01	1	0.0105	501.6071203574449	16664.842809275193	1.8135122263188557	9999.943135517207	1007.4229024130608	78.77153712829276	998.6322512112937	NaN
0.01	1	0.0105	501.66228010454216	16664.718471622647	1.8139475252194655	9999.937224414349	1007.6570755366104	78.66211040581017	999.0213892355395	NaN
0.01	1	0.0105	501.7176423316493	16664.589789982703	1.8143825125905826	9999.930905232166	1007.8908094870451	78.56774033208298	999.4204110377066	NaN
0.01	1	0.0105	501.7732097100829	16664.45673681406	1.8148171987945645	9999.924162602167	1008.1241081664656	78.48906064770387	999.828117202347	NaN
0.01	1	0.0105	501.8289829889334	16664.319288835006	1.815251578968936	9999.916981210808	1008.3569672801677	78.42659932446877	1000.2432322815245	NaN
0.01	1	0.0105	501.88496118598664	16664.177427207847	1.8156856348345942	9999.909345842862	1008.5893753523707	78.38077137465231	1000.6644136856171	NaN
0.01	1	0.0105	501.94114189112594	16664.03113734283	1.8161193373294304	9999.90124140533	1008.8213151771865	78.35187262805755	1001.090262681572	NaN
0.01	1	0.0105	501.9975215836649	16663.88040853424	1.816552649284925	9999.892652939998	1009.0527652832221	78.34007490101801	1001.5193366288647	NaN
0.01	1	0.0105	502.0540959788207	16663.725233380323	1.8169855282588296	9999.883565619824	1009.2837014716588	78.34542273440829	1001.9501623447628	NaN
0.01	1	0.0105	502.1108603168189	16663.565607219803	1.8174179288598478	9999.873964740982	1009.5140980731886	78.36783181064975	1002.38124968115	NaN
0.01	1	0.0105	502.1678095627641	16663.401527706817	1.8178498043372868	9999.86383571826	1009.7439288051419	78.40708894830402	1002.811104809287	NaN
0.01	1	0.0105	502.22493853794316	16663.2329945062	1.8182811076128766	9999.853164084205	1009.9731673261358	78.46285351972914	1003.2382431530197	NaN
0.01	1	0.0105	502.2822418782248	16663.060009461453	1.8187117909888624	9999.841935516426	1010.2017870844223	78.53465998940666	1003.6612010375253	NaN
0.01	1	0.0105	502.3397139423445	16662.882576935277	1.8191418054899813	9999.830135878174	1010.4297609734673	78.62192141841885	1004.0785469120507	NaN
0.01	1	0.0105	502.3973485774571	16662.700704641902	1.8195710991627074	9999.817751296052	1010.6570604385219	78.72393365801071	1004.4888914507113	NaN
0.01	1	0.0105	502.4551388818992	16662.514404582827	1.8199996154003073	9999.804768253014	1010.8836546039369	78.83988029451933	1004.8908975885721	NaN
