bC	CoRaDyn(bC)
0.01	0.11060289822047298
0.017142857142857144	0.08200090933605117
0.024285714285714285	0.07611632568120497
0.03142857142857143	0.07616734903394756
0.03857142857142857	0.07936767317620888
0.045714285714285714	0.08509251252175866
0.05285714285714286	0.09348194685654306
0.06	0.10511660152114706
0.06714285714285714	0.12101710245671758
0.07428571428571429	0.14330134598381247
0.08142857142857143	0.17383717975516558
0.08857142857142856	0.21846612759399586
0.09571428571428571	0.279934233977662
0.10285714285714286	0.3748265506123745
0.11	0.5036539741594247
