bC	FbR_Z1	FbR_Z2	FbR_X1	FbR_XC	FbR_A	FbR_M	FbD_Z1	FbD_Z2	FbD_X1	FbD_XC	FbD_A	FbD_M	NfR_Z1	NfR_Z2	NfR_X1	NfR_XC	NfR_A	NfR_M	NfD_Z1	NfD_Z2	NfD_X1	NfD_XC	NfD_A	NfD_M	CoRa(bC)
0.01	16666.66666666667	1.7999999999999994	10000.000000000002	1000.0000000000001	83.42386699225443	993.7165994864184	15873.015873015876	1.8899999999999995	9523.809523809525	1000.0000000000001	83.42386699225443	993.7165994864184	16666.66666666667	1.7999999999999994	10000.000000000002	1000.0000000000001	83.42386696888343	993.7165994945817	1.999800244151423e-7	1.500149831851327e11	1.1998801476906118e-7	1050.0000000000002	83.4198946625326	1043.1234998459088	0.0
0.017142857142857144	9722.222222222223	3.0857142857142854	5833.333333333333	1000.0	83.42386697784312	993.7165994969157	9259.25925925926	3.2399999999999998	5555.555555555555	1000.0	83.42386697784312	993.7165994969157	9722.222222222223	3.0857142857142854	5833.333333333333	1000.0	83.4238669547518	993.7165994887386	1.9998001515602196e-7	1.5001499013086066e11	1.1998800921358913e-7	1050.0	83.4198946625326	1043.1234998459086	0.0
0.024285714285714285	6862.745098039218	4.37142857142857	4117.64705882353	1000.0000000000001	83.4238669899952	993.7165994900043	6535.947712418302	4.589999999999999	3921.568627450981	1000.0000000000001	83.42386699225443	993.7165994864184	6862.745098039218	4.37142857142857	4117.64705882353	1000.0000000000001	83.42386696967344	993.716599496318	1.9998001134242618e-7	1.5001499299162924e11	1.199880069254314e-7	1050.0000000000002	83.4198946625326	1043.1234998459086	0.0
0.03142857142857143	5303.030303030304	5.657142857142857	3181.818181818182	1000.0000000000001	83.42386699225443	993.7165994864184	5050.505050505051	5.9399999999999995	3030.3030303030305	1000.0000000000001	83.42386699225443	993.7165994864184	5303.030303030304	5.657142857142857	3181.818181818182	1000.0000000000001	83.42386696888343	993.7165994945817	1.9998000926151213e-7	1.500149945526268e11	1.1998800567688297e-7	1050.0000000000002	83.4198946625326	1043.1234998459086	0.0
0.03857142857142857	4320.987654320988	6.942857142857142	2592.592592592593	1000.0000000000001	83.42386696976199	993.7165994732338	4115.22633744856	7.289999999999999	2469.135802469136	1000.0	83.42386696976199	993.7165994732338	4320.987654320989	6.9428571428571395	2592.5925925925935	1000.0000000000001	83.42386696976199	993.7165994732338	1.999800079506722e-7	1.500149955359533e11	1.199880048903791e-7	1050.0000000000002	83.4198946625326	1043.1234998459088	2.2755058186927196e-15
0.045714285714285714	3645.8333333333335	8.228571428571428	2187.5	1000.0	83.42386697784312	993.7165994969157	3472.222222222223	8.639999999999997	2083.3333333333335	1000.0000000000001	83.42386699225443	993.7165994864184	3645.8333333333335	8.228571428571428	2187.5	1000.0	83.4238669547518	993.7165994887386	1.9998000704893478e-7	1.500149962123916e11	1.199880043493368e-7	1050.0	83.4198946625326	1043.1234998459086	4.551011637385438e-15
0.05285714285714286	3153.1531531531537	9.514285714285712	1891.891891891892	1000.0000000000001	83.42386699225443	993.7165994864184	3003.003003003003	9.99	1801.8018018018015	1000.0	83.42386697784312	993.7165994969157	3153.1531531531537	9.514285714285712	1891.891891891892	1000.0000000000001	83.42386696888343	993.7165994945817	1.999800063904365e-7	1.5001499670636407e11	1.1998800395423766e-7	1050.0000000000002	83.4198946625326	1043.1234998459088	2.2755058186927196e-15
0.06	2777.7777777777783	10.799999999999999	1666.6666666666667	1000.0	83.42386697784312	993.7165994969157	2645.502645502646	11.339999999999998	1587.3015873015875	1000.0000000000001	83.42386699225443	993.7165994864184	2777.7777777777783	10.799999999999999	1666.6666666666667	1000.0	83.4238669547518	993.7165994887386	1.9998000588832362e-7	1.5001499708302405e11	1.1998800365297012e-7	1050.0	83.4198946625326	1043.1234998459086	4.551011637385438e-15
0.06714285714285714	2482.2695035460997	12.085714285714284	1489.3617021276598	1000.0000000000001	83.42386699225443	993.7165994864184	2364.066193853428	12.689999999999998	1418.4397163120568	1000.0000000000001	83.42386699225443	993.7165994864184	2482.2695035460997	12.085714285714284	1489.3617021276598	1000.0000000000001	83.42386696888343	993.7165994945817	1.9998000549267831e-7	1.5001499737981735e11	1.1998800341558275e-7	1050.0000000000002	83.4198946625326	1043.1234998459088	0.0
0.07428571428571429	2243.5897435897436	13.37142857142857	1346.1538461538462	1000.0000000000001	83.4238669899952	993.7165994900043	2136.752136752137	14.039999999999997	1282.0512820512822	1000.0000000000001	83.42386699225443	993.7165994864184	2243.5897435897436	13.37142857142857	1346.1538461538462	1000.0000000000001	83.42386696967344	993.716599496318	1.9998000517279375e-7	1.5001499761977878e11	1.199880032236522e-7	1050.0	83.4198946625326	1043.1234998459086	0.0
0.08142857142857143	2046.7836257309941	14.657142857142858	1228.0701754385964	1000.0	83.42386697784312	993.7165994969157	1949.3177387914234	15.389999999999997	1169.5906432748538	1000.0000000000001	83.42386696976199	993.7165994732338	2046.7836257309941	14.657142857142858	1228.0701754385964	1000.0	83.4238669547518	993.7165994887386	1.999800049087227e-7	1.5001499781787167e11	1.1998800306520956e-7	1050.0	83.4198946625326	1043.1234998459086	4.551011637385438e-15
0.08857142857142856	1881.7204301075274	15.94285714285714	1129.0322580645163	1000.0000000000001	83.42386699225443	993.7165994864184	1792.1146953405018	16.74	1075.268817204301	1000.0	83.42386697784312	993.7165994969157	1881.7204301075274	15.94285714285714	1129.0322580645163	1000.0000000000001	83.42386696888343	993.7165994945817	1.999800046869651e-7	1.500149979842231e11	1.1998800293215474e-7	1050.0000000000002	83.4198946625326	1043.1234998459086	2.2755058186927196e-15
0.09571428571428571	1741.293532338309	17.228571428571424	1044.7761194029852	1000.0000000000001	83.42386696976199	993.7165994732338	1658.3747927031511	18.089999999999996	995.0248756218906	1000.0000000000001	83.42386699225443	993.7165994864184	1741.293532338309	17.228571428571424	1044.7761194029852	1000.0000000000001	83.4238669899952	993.7165994900043	1.9998000449805266e-7	1.500149981259358e11	1.1998800281880728e-7	1050.0000000000002	83.4198946625326	1043.1234998459086	0.0
0.10285714285714286	1620.3703703703704	18.514285714285712	972.2222222222223	1000.0	83.42386697784312	993.7165994969157	1543.2098765432102	19.439999999999994	925.9259259259261	1000.0000000000001	83.42386696976199	993.7165994732338	1620.3703703703704	18.514285714285712	972.2222222222223	1000.0	83.4238669547518	993.7165994887386	1.9998000433514082e-7	1.500149982481441e11	1.1998800272106042e-7	1050.0	83.4198946625326	1043.1234998459086	4.551011637385438e-15
0.11	1515.1515151515157	19.799999999999994	909.0909090909092	1000.0000000000001	83.42386696976199	993.7165994732338	NaN	NaN	NaN	NaN	NaN	NaN	1515.1515151515157	19.799999999999994	909.0909090909093	1000.0000000000001	83.42386696976199	993.7165994732338	1.9998000419316386e-7	1.500149983546481e11	1.1998800263587408e-7	1050.0000000000002	83.4198946625326	1043.1234998459088	NaN
