tspan	bC	CoRaDyn(bC)
1.0	0.01	0.9999969872024493
1.5491270692780237	0.01	0.9999888266458355
2.3997946767699188	0.01	0.999958894760578
3.7175868944935866	0.01	0.9998503961152819
5.7590144906532394	0.01	0.9994637223255219
8.921445239835325	0.01	0.9981206511006929
13.820452318110469	0.01	0.9936410407740215
21.409636795651142	0.01	0.9796480961371993
33.166247903553995	0.01	0.9403973995663718
51.378732413781	0.01	0.8478601456193586
79.59218516738036	0.01	0.6804425403450105
123.29840854577775	0.01	0.4702274731464711
191.00490227716503	0.01	0.2980423531323758
295.89086448236014	0.01	0.189520563164096
458.3725477216993	0.01	0.12086809132776516
710.0773214896175	0.01	0.07741890916859923
1099.9999999999998	0.01	0.04972713710021817
1.0	0.06	0.999984319331728
1.5491270692780237	0.06	0.9999390248926968
2.3997946767699188	0.06	0.9997684536420977
3.7175868944935866	0.06	0.9991393137352361
5.7590144906532394	0.06	0.9968729092769572
8.921445239835325	0.06	0.9889555042089748
13.820452318110469	0.06	0.9625663134355376
21.409636795651142	0.06	0.8814732471334651
33.166247903553995	0.06	0.669195410980082
51.378732413781	0.06	0.4861240362835131
79.59218516738036	0.06	0.40570429353551496
123.29840854577775	0.06	0.3217764424572605
191.00490227716503	0.06	0.24695187667955495
295.89086448236014	0.06	0.17234464150763137
458.3725477216993	0.06	0.11449834688524517
710.0773214896175	0.06	0.07396583554442127
1099.9999999999998	0.06	0.047540936244859625
1.0	0.11	0.9999748466463833
1.5491270692780237	0.11	0.9998982126241271
2.3997946767699188	0.11	0.9996022793497605
3.7175868944935866	0.11	0.9984927755692211
5.7590144906532394	0.11	0.9944536422188716
8.921445239835325	0.11	0.9802642584116548
13.820452318110469	0.11	0.933004873217576
21.409636795651142	0.11	0.7901446765294946
33.166247903553995	0.11	0.5178529184811893
51.378732413781	0.11	0.5472307964905386
79.59218516738036	0.11	0.4939390875293304
123.29840854577775	0.11	0.45888459196709347
191.00490227716503	0.11	0.4548366788535229
295.89086448236014	0.11	0.4766885872484616
458.3725477216993	0.11	0.5031879500122465
710.0773214896175	0.11	0.5517670345725145
1099.9999999999998	0.11	0.644487998668994
