bC	CoRaDyn(bC)
0.01	0.8557342688105649
0.017142857142857144	0.7602538437430988
0.024285714285714285	0.6709461338549186
0.03142857142857143	0.5876726639623245
0.03857142857142857	0.5271092233255433
0.045714285714285714	0.4985054153861781
0.05285714285714286	0.48770905117702984
0.06	0.4871416689646579
0.06714285714285714	0.49245352781169044
0.07428571428571429	0.5009671032238456
0.08142857142857143	0.5109717405507194
0.08857142857142856	0.5213599974799944
0.09571428571428571	0.5313793534801541
0.10285714285714286	0.5405523000136561
0.11	0.5485479891028706
