pt	FB	rho	time	Z1	Z2	X1	XC	A	M
1.01	1	0.1	0.0	2310.762587335457	7.982727072188335	924.3050349341828	616.2033566227885	63.013363750332296	612.8785255771229	NaN
1.01	1	0.1	9.999999999999999e-5	2310.762587335457	7.982727072188335	924.3050349341828	616.2033566227885	63.013363750332296	612.8785255771229	NaN
1.01	1	0.1	0.0010999999999999998	2310.762587335457	7.982727072188335	924.3050349341828	616.2033566227885	63.013363750332296	612.8785255771229	NaN
1.01	1	0.1	0.011099999999999997	2310.762587335457	7.982727072188335	924.3050349341828	616.2033566227885	63.013363750332296	612.8785255771229	NaN
1.01	1	0.1	0.11109999999999996	2310.762587335457	7.982727072188335	924.3050349341828	616.2033566227885	63.013363750332296	612.8785255771229	NaN
1.01	1	0.1	1.1110999999999995	2310.762587335457	7.982727072188335	924.3050349341828	616.2033566227885	63.01336375033216	612.8785255771228	NaN
1.01	1	0.1	7.6566452009414165	2310.762587335457	7.982727072188334	924.3050349341828	616.2033566227884	63.01336375033231	612.8785255771228	NaN
1.01	1	0.1	58.0485142387081	2310.762587335457	7.982727072188337	924.3050349341828	616.2033566227886	63.01336375033222	612.878525577123	NaN
1.01	1	0.1	439.9451161257723	2310.762587335457	7.982727072188335	924.3050349341828	616.2033566227885	63.01336375033231	612.878525577123	NaN
1.01	1	0.1	500.0	2310.762587335457	7.982727072188332	924.3050349341826	616.2033566227883	63.01336375033229	612.8785255771228	NaN
1.01	1	0.101	500.0	2310.762587335457	7.982727072188332	924.3050349341826	616.2033566227883	63.01336375033229	612.8785255771228	NaN
1.01	1	0.101	500.01150211365365	2310.7625858147026	7.982743880017044	924.3050349339156	616.2139789183019	63.01327365377525	612.8785260946207	NaN
1.01	1	0.101	500.02300422730735	2310.7625759159605	7.982788910842283	924.3050349301415	616.224582902787	63.013004115864064	612.8785297100725	NaN
1.01	1	0.101	500.0390791053317	2310.762535900191	7.982886822700704	924.3050349027845	616.2393719748729	63.01232900764476	612.8785457895391	NaN
1.01	1	0.101	500.0576132289464	2310.7624370404033	7.98303521833041	924.3050347966987	616.2563793793045	63.011122790300966	612.8785901583944	NaN
1.01	1	0.101	500.0805727629929	2310.762217862313	7.98325286411215	924.305034452857	616.2773821980173	63.00900094639271	612.8787015791556	NaN
1.01	1	0.101	500.1078572872153	2310.761799013661	7.983540096562335	924.3050335332922	616.302247538173	63.00559052306031	612.8789458681132	NaN
1.01	1	0.101	500.14097454970204	2310.761041077464	7.98391048678719	924.3050312722091	616.3322920469436	63.00018100864044	612.8794587457725	NaN
1.01	1	0.101	500.1810313825737	2310.759743713801	7.984372762648561	924.3050261171753	616.3684333566146	62.99182828918969	612.8804874939387	NaN
1.01	1	0.101	500.22884984726767	2310.757640633627	7.984931800851396	924.3050151850075	616.4112941811092	62.97935861798761	612.8824533691079	NaN
1.01	1	0.101	500.2825153476599	2310.7545612479203	7.98556093119383	924.3049947375954	616.4590310596885	62.962283466502775	612.8858363534496	NaN
1.01	1	0.101	500.3409846720205	2310.7503464042397	7.986245116757407	924.3049599430547	616.5106053565462	62.94020273277156	612.8912212848958	NaN
1.01	1	0.101	500.4036100039959	2310.7448479110108	7.986975282794839	924.3049048813227	616.5653458816826	62.91284546580734	612.8992849622517	NaN
1.01	1	0.101	500.4697765588557	2310.737946242103	7.987743404922648	924.3048228011556	616.6226253759247	62.88017978942415	612.9107462378449	NaN
1.01	1	0.101	500.53893612100643	2310.729548670986	7.988542534562359	924.3047063192413	616.6818906327663	62.84240063149975	612.9263288279668	NaN
