pt	FB	rho	time	Z1	Z2	X1	XC	A	M
1.01	1	0.1	0.0	1666.666666666667	17.999999999999996	1000.0000000000001	1000.0000000000001	83.42386699225443	993.7165994864184	NaN
1.01	1	0.1	0.8068690052529227	1666.666666666667	17.999999999999996	1000.0000000000001	1000.0000000000001	83.42386698592338	993.7165994599551	NaN
1.01	1	0.1	2.3436284042091917	1666.666666666667	17.999999999999996	1000.0000000000001	1000.0000000000001	83.42386695227773	993.716599469012	NaN
1.01	1	0.1	4.463737995318178	1666.666666666667	17.999999999999996	1000.0000000000001	1000.0000000000001	83.42386698267234	993.7165994780806	NaN
1.01	1	0.1	7.5608182481472825	1666.666666666667	17.999999999999996	1000.0000000000001	1000.0000000000001	83.4238669618419	993.7165994779638	NaN
1.01	1	0.1	12.099566729243652	1666.666666666667	17.999999999999996	1000.0000000000001	1000.0000000000001	83.4238669646418	993.7165994685864	NaN
1.01	1	0.1	18.897376647859073	1666.666666666667	17.999999999999996	1000.0000000000001	1000.0000000000001	83.42386696817533	993.7165994695733	NaN
1.01	1	0.1	29.799957563192006	1666.666666666667	17.999999999999996	1000.0000000000001	1000.0000000000001	83.42386696873972	993.7165994717911	NaN
1.01	1	0.1	49.00087462933866	1666.666666666667	17.999999999999996	1000.0000000000001	1000.0000000000001	83.42386696930028	993.7165994731076	NaN
1.01	1	0.1	88.28980816930624	1666.666666666667	17.999999999999996	1000.0000000000001	1000.0000000000001	83.42386696972254	993.7165994732841	NaN
1.01	1	0.1	188.95263497736	1666.666666666667	17.999999999999996	1000.0000000000001	1000.0000000000001	83.42386696976446	993.7165994732371	NaN
1.01	1	0.1	500.0	1666.666666666667	17.999999999999996	1000.0000000000001	1000.0000000000001	83.42386696976203	993.7165994732338	NaN
1.01	1	0.101	500.0	1666.666666666667	17.999999999999996	1000.0000000000001	1000.0000000000001	83.42386696976203	993.7165994732338	NaN
1.01	1	0.101	500.0112754187802	1666.666665527207	18.000017923634626	999.9999999998051	1000.0112690644154	83.42377289535474	993.7166000032747	NaN
1.01	1	0.101	500.0225508375604	1666.6666579580935	18.00006751516005	999.9999999970003	1000.022525429648	83.42349127873925	993.7166037084729	NaN
1.01	1	0.101	500.03876156406847	1666.6666251685497	18.00018357980362	999.999999975138	1000.038686538075	83.42275967088331	993.716620942802	NaN
1.01	1	0.101	500.05741893647746	1666.6665409141128	18.0003678424102	999.9999998869603	1000.0572544046878	83.42144415837507	993.7166691145331	NaN
