FB	rho	time	Z1	Z2	X1	XC	A	M
1	0.1	0.0	106.10354744808046	282.74266715427086	999.9999999999999	1000.0	83.42386696976199	993.7165994732337	NaN
1	0.1	9.999999999999999e-5	106.10354744808046	282.74266715427086	999.9999999999999	1000.0	83.42386696976199	993.7165994732337	NaN
1	0.1	0.0010999999999999998	106.10354744808046	282.74266715427086	999.9999999999999	1000.0	83.42386696976199	993.7165994732337	NaN
1	0.1	0.011099999999999997	106.10354744808046	282.74266715427086	999.9999999999999	1000.0	83.42386696976199	993.7165994732337	NaN
1	0.1	0.11109999999999996	106.10354744808046	282.74266715427086	999.9999999999999	1000.0	83.423866969762	993.7165994732337	NaN
1	0.1	1.1110999999999995	106.10354744808046	282.74266715427086	1000.0	1000.0	83.42386696976193	993.7165994732336	NaN
1	0.1	7.439870032563866	106.10354744808048	282.7426671542708	1000.0000000000001	1000.0	83.42386696976197	993.7165994732334	NaN
1	0.1	52.587214224594426	106.10354744808063	282.7426671542704	1000.0000000000001	999.9999999999999	83.42386696976196	993.7165994732336	NaN
1	0.1	341.1163110713488	106.10354744808005	282.74266715427194	999.9999999999998	999.9999999999998	83.42386696976199	993.7165994732336	NaN
1	0.1	500.0	106.10354744808052	282.7426671542707	1000.0	1000.0	83.42386696976202	993.7165994732337	NaN
1	0.10500000000000001	500.0	106.10354744808046	282.74266715427086	999.9999999999999	1000.0	83.42386696976199	993.7165994732337	NaN
1	0.10500000000000001	500.0075402050535	106.10354733521542	282.7427096717093	999.9999970072432	1000.0376868143981	83.42365650953397	993.7166002661007	NaN
1	0.10500000000000001	500.0206886521067	106.1035451468627	282.742985647006	999.9999731786157	1000.1033363110158	83.42228551450768	993.7166158279643	NaN
1	0.10500000000000001	500.0365269614764	106.10353497848725	282.7436541313046	999.9999003399729	1000.1823015429271	83.41894877862946	993.7166893272785	NaN
1	0.10500000000000001	500.05747274782857	106.10349985303489	282.74509215552223	999.9997009715585	1000.2865390110533	83.41173032164117	993.7169486571349	NaN
1	0.10500000000000001	500.0820534181701	106.10341217012686	282.7475676560087	999.9992661816017	1000.4085866884494	83.39922753560657	993.7176126780128	NaN
1	0.10500000000000001	500.1109348934311	106.10322214533812	282.7515376896566	999.9983938388739	1000.551603941205	83.37905362844397	993.7190943868102	NaN
1	0.10500000000000001	500.1432970055311	106.10286709483582	282.7573139025601	999.9968297213281	1000.7113628265839	83.3495381663711	993.7219540244158	NaN
1	0.10500000000000001	500.1790556499214	106.10226268412671	282.76528486391766	999.9942140028645	1000.8872810966517	83.30862743369042	993.7269945126203	NaN
1	0.10500000000000001	500.217652189421	106.1013181556593	282.77570999717017	999.990135612474	1001.0764426713973	83.25497155340008	993.7351643738574	NaN
1	0.10500000000000001	500.25877803804923	106.09993303574728	282.78884494342685	999.9841060553259	1001.2771769490039	83.18732194040993	993.7476027909646	NaN
1	0.10500000000000001	500.3020119885733	106.09801047544018	282.80485116516655	999.9756104511486	1001.4872798969759	83.10502959158259	993.7655325878454	NaN
1	0.10500000000000001	500.34703611786796	106.09545665068777	282.82385843601696	999.9641037345041	1001.7050721397748	83.007747946086	993.7902607446675	NaN
1	0.10500000000000001	500.3935310366118	106.09218845783097	282.8459356379592	999.9490486191037	1001.928887651459	82.89559540284442	993.8230923636889	NaN
1	0.10500000000000001	500.44123754666185	106.08813272024774	282.8711224867374	999.9299201978424	1002.1573711626052	82.76899364743753	993.8653148805824	NaN
1	0.10500000000000001	500.48992329005824	106.08322892712744	282.89942403111326	999.9062290810612	1002.3893144922017	82.62868724484214	993.9181430401941	NaN
1	0.10500000000000001	500.5393969005433	106.0774277913118	282.9308264645881	999.8775264075016	1002.6237217726741	82.47564847970744	993.9827038872752	NaN
1	0.10500000000000001	500.5894973597656	106.07069092747363	282.96530001641344	999.8434138513447	1002.8597555455539	82.31104391296807	994.060011497586	NaN
1	0.10500000000000001	500.64009634086295	106.0629887269945	283.0028085283185	999.803543701735	1003.0967448392987	82.13616727666212	994.1509645405574	NaN
1	0.10500000000000001	500.6910881523911	106.05429964343232	283.04330963321274	999.7576244384895	1003.3341350004933	81.95241843401139	994.2563319300332	NaN
1	0.10500000000000001	500.74239141368327	106.04460787895565	283.08676197761224	999.7054163567515	1003.571493089497	81.76125097517509	994.3767615116424	NaN
1	0.10500000000000001	500.7939432395732	106.03390228538885	283.13312601919716	999.6467316440093	1003.8084784570273	81.56415273916424	994.512778999719	NaN
1	0.10500000000000001	500.84569760799604	106.0221748039133	283.1823670573698	999.5814304354426	1004.0448332110745	81.36261902633805	994.6647964187206	NaN
1	0.10500000000000001	500.89762208256684	106.0094194529415	283.23445603811894	999.5094184529435	1004.2803653936434	81.15813851999005	994.8331171228857	NaN
1	0.10500000000000001	500.9496958081916	105.99563132706626	283.28937069827566	999.4306436356806	1004.5149383494598	80.95218021959127	995.0179433110096	NaN
1	0.10500000000000001	501.0019073020866	105.98080589766263	283.3470958482053	999.345093634378	1004.748459453372	80.74618598539693	995.2193816458438	NaN
1	0.10500000000000001	501.05425271945626	105.9649384439015	283.40762353200955	999.2527934654942	1004.9808712719815	80.54156508634193	995.43744856927	NaN
1	0.10500000000000001	501.10673423673165	105.94802367464342	283.47095280313687	999.1538038648844	1005.212143507421	80.33969122064327	995.6720740137772	NaN
1	0.10500000000000001	501.15935865814305	105.9300554888687	283.537089299901	999.0482201930804	1005.4422661774627	80.14190074932236	995.9231038222641	NaN
1	0.10500000000000001	501.21213613376625	105.91102688381588	283.60604455669187	998.9361720460686	1005.6712435148203	79.94949182079081	996.1903004825436	NaN
1	0.10500000000000001	501.2650790401234	105.89092997228829	283.6778351655595	998.8178233990349	1005.899088794925	79.76372352548348	996.47334255892	NaN
1	0.10500000000000001	501.3182009147918	105.86975612741985	283.75248169368234	998.6933733988204	1006.1258196064689	79.58581490608674	996.7718225216215	NaN
1	0.10500000000000001	501.37151546764426	105.84749623367112	283.83000741242995	998.5630576471816	1006.3514536603021	79.41694322089973	997.0852433270401	NaN
1	0.10500000000000001	501.4250356882234	105.82414102099702	283.91043689725296	998.4271497688663	1006.5760052109373	79.25824099047524	997.4130142246375	NaN
1	0.10500000000000001	501.4787729734211	105.79968150084409	283.9937944143997	998.2859632718477	1006.7994817621295	79.11079175302388	997.7544457578003	NaN
1	0.10500000000000001	501.53273638503566	105.77410944481056	284.08010228166523	998.139853229101	1007.0218815085597	78.97562398767525	998.1087450823754	NaN
1	0.10500000000000001	501.5869319675322	105.74741792069132	284.1693791327714	997.9892177321767	1007.2431912015201	78.85370336842416	998.4750117226325	NaN
1	0.10500000000000001	501.64136224393667	105.71960181376103	284.2616383103356	997.8344985709849	1007.463384899435	78.74592315731203	998.8522350933878	NaN
1	0.10500000000000001	501.6960258963377	105.6906583040248	284.3568864602364	997.6761808764735	1007.6824235800466	78.65309310296219	999.2392944514393	NaN
1	0.10500000000000001	501.75091763847144	105.66058726912335	284.45512240374444	997.5147915024876	1007.9002555890441	78.57592736685896	999.6349618541605	NaN
1	0.10500000000000001	501.8060283980974	105.62939151859547	284.55633657085417	997.350895650788	1008.1168183252155	78.5150320295491	1000.0379093853725	NaN
1	0.10500000000000001	501.8613456937772	105.59707688706041	284.6605108767138	997.1850919981915	1008.3320406206863	78.47089325361179	1000.4467200743657	NaN
1	0.10500000000000001	501.91685427770693	105.56365211726326	284.76761924344106	997.018006142771	1008.5458460263163	78.44386688171258	1000.8599030193519	NaN
1	0.10500000000000001	501.9725369270016	105.52912857367035	284.87762861606507	996.8502828425503	1008.7581564728666	78.4341704122783	1001.27591161435	NaN
1	0.10500000000000001	502.0283753240454	105.49351980763808	284.990500394804	996.6825774378774	1008.9688960362364	78.44187794940127	1001.6931639655534	NaN
1	0.10500000000000001	502.0843509452856	105.4568410186537	285.1061921380801	996.5155469638496	1009.1779944784515	78.46691844697469	1002.1100642819702	NaN
1	0.10500000000000001	502.14044583121864	105.41910849996266	285.2246592606525	996.3498416092858	1009.3853900939497	78.50907718938504	1002.5250236267267	NaN
1	0.10500000000000001	502.19664325818707	105.38033907156779	285.3458567273578	996.1860967057837	1009.5910319720191	78.56800019052586	1002.9364795706007	NaN
1	0.10500000000000001	502.2529281473468	105.3405496331152	285.4697403391178	996.0249259189346	1009.7948811154464	78.64320086819365	1003.3429130476716	NaN
1	0.10500000000000001	502.3092873712132	105.29975675303972	285.5962678877942	995.8669152816726	1009.996911065324	78.73406848878031	1003.7428632833934	NaN
1	0.10500000000000001	502.3657097768378	105.257976443414	285.72539972631046	995.7126186331099	1010.1971074290673	78.8398775417451	1004.1349393393742	NaN
1	0.10500000000000001	502.42218615998326	105.21522397538034	285.8570992167576	995.5625537738977	1010.3954672112714	78.95979778771832	1004.5178299719598	NaN
1	0.10500000000000001	502.4787090559174	105.17151384622593	285.9913327189193	995.4171996640083	1010.5919975013383	79.09290434612961	1004.8903109457361	NaN
1	0.10500000000000001	502.53527253807084	105.12685976638141	286.12806953092866	995.2769940704716	1010.7867142228013	79.23818787141305	1005.2512512777955	NaN
1	0.10500000000000001	502.5918719616869	105.08127471599623	286.2672816297568	995.1423317777381	1010.9796407318292	79.39456454122177	1005.5996181085045	NaN
1	0.10500000000000001	502.6485037617745	105.03477098585485	286.4089434726265	995.0135630361516	1011.1708066465694	79.56088604156852	1005.9344810193534	NaN
1	0.10500000000000001	502.70516529102304	104.98736020794391	286.55303184020323	994.890992275803	1011.3602468476672	79.73594952719199	1006.2550157277883	NaN
1	0.10500000000000001	502.7618547169084	104.939053354122	286.6995257846594	994.7748770431502	1011.5480007050362	79.91850762386478	1006.5605072708885	NaN
1	0.10500000000000001	502.8185710272249	104.88986065295207	286.84840683098747	994.6654270871916	1011.7341116797226	80.1072786500736	1006.8503528777022	NaN
1	0.10500000000000001	502.8753140805737	104.83979146944141	286.9996592926324	994.562803773861	1011.9186270743264	80.3009568530975	1007.1240640702109	NaN
1	0.10500000000000001	502.93208472086576	104.7888541257942	287.15327076623237	994.4671198161075	1012.101597987005	80.49822265900053	1007.3812680264292	NaN
1	0.10500000000000001	502.9888849373814	104.7370556737332	287.309232772264	994.3784393799605	1012.2830794013393	80.69775278854245	1007.6217080443442	NaN
1	0.10500000000000001	503.0457180368981	104.68440164537184	287.4675414600003	994.2967786242797	1012.4631303021273	80.8982300064989	1007.8452429421264	NaN
1	0.10500000000000001	503.10258882455423	104.63089578501791	287.62819837023693	994.2221066530765	1012.641813809126	81.09835236626766	1008.0518454331997	NaN
1	0.10500000000000001	503.1595037525342	104.57653980081214	287.79121113991295	994.1543468900213	1012.8191972045456	81.29684169057803	1008.2415994237822	NaN
1	0.10500000000000001	503.2164710333118	104.52133314289986	287.95659413018757	994.0933787998406	1012.9953518535399	81.49245119125659	1008.414696405116	NaN
1	0.10500000000000001	503.2735007028601	104.46527282620355	288.1243689253547	994.0390398850184	1013.1703529814648	81.68397213572877	1008.5714311017151	NaN
1	0.10500000000000001	503.33060461148807	104.40835332503708	288.29456462258514	993.9911278795337	1013.3442792492912	81.87023949693756	1008.7121965539328	NaN
1	0.10500000000000001	503.3877963650458	104.35056652313398	288.4672179629573	993.9494030172528	1013.5172122064979	82.05013673219864	1008.8374789444525	NaN
1	0.10500000000000001	503.44509117454754	104.29190176660357	288.6423731625481	993.9135903209716	1013.6892355013597	82.2225996747804	1008.9478522888735	NaN
1	0.10500000000000001	503.5025056588531	104.23234598124016	288.8200815594176	993.883381797912	1013.8604339913228	82.38661985212481	1009.043973298089	NaN
1	0.10500000000000001	503.56005753819727	104.17188392358919	289.00040086926475	993.8584385248425	1014.0308925718771	82.541247250968	1009.1265764432245	NaN
1	0.10500000000000001	503.61776526955856	104.11049852047061	289.18339418474574	993.8383925493847	1014.2006948831763	82.68559293384476	1009.1964694421439	NaN
1	0.10500000000000001	503.67564759442405	104.04817133327546	289.36912860920944	993.8228486168719	1014.3699218103798	82.81883168116683	1009.2545291549792	NaN
1	0.10500000000000001	503.7337229991683	103.98488315386014	289.55767350332565	993.8113857368064	1014.5386497838492	82.94020493947352	1009.3016978799351	NaN
1	0.10500000000000001	503.7920090761489	103.92061475221286	289.7490982828345	993.8035586368021	1014.7069488504567	83.04902432759226	1009.3389799561237	NaN
1	0.10500000000000001	503.8505218158222	103.8553477499008	289.94346984269083	993.7988991775089	1014.874880610239	83.14467601494773	1009.3674385322415	NaN
1	0.10500000000000001	503.9092748220924	103.78906563339619	290.1408495629303	993.7969178473968	1015.0424960011782	83.2266261395485	1009.3881922338677	NaN
1	0.10500000000000001	503.9682784709698	103.72175489019867	290.34128994409286	993.797105479842	1015.2098329965488	83.29442741371136	1009.4024114102697	NaN
1	0.10500000000000001	504.02753906590715	103.65340621000016	290.5448310408244	993.7989353629323	1015.3769143723789	83.34772697257166	1009.4113135731582	NaN
1	0.10500000000000001	504.087058070269	103.58401565597438	290.7514969729282	993.8018659316339	1015.5437457739436	83.38627533162798	1009.4161575823194	NaN
1	0.10500000000000001	504.1468314620784	103.5135857450384	290.9612926930511	993.805344222721	1015.7103142045839	83.40993604299354	1009.418236126152	NaN
1	0.10500000000000001	504.206849343124	103.44212626739365	291.1742015144817	993.8088102355757	1015.8765872972803	83.41869545412669	1009.4188661297943	NaN
1	0.10500000000000001	504.2670959350724	103.36965466197933	291.39018394522407	993.8117022658541	1016.042513715892	83.41267164250777	1009.4193768729382	NaN
1	0.10500000000000001	504.32754994084985	103.29619594026457	291.60917785320873	993.8134631500916	1016.2080245950605	83.3921214041788	1009.4210958648158	NaN
1	0.10500000000000001	504.3881854311124	103.2217819295216	291.83110064955406	993.8135472269112	1016.3730364219739	83.35744416597709	1009.425332857941	NaN
1	0.10500000000000001	504.44897312274827	103.14644995674644	292.05585313633287	993.8114276639533	1016.5374549489255	83.30918183037413	1009.4333627222186	NaN
1	0.10500000000000001	504.5098819802768	103.07024102802718	292.2833248643105	993.8066037047391	1016.7011799088656	83.24801399040263	1009.4464081691716	NaN
1	0.10500000000000001	504.5708810038447	102.99319765122709	292.51340056891206	993.7986073508364	1016.8641101298367	83.17474845824204	1009.4656234408228	NaN
1	0.10500000000000001	504.6319409656775	102.91536159442201	292.7459668196408	993.7870090519917	1017.0261483863892	83.09030772065545	1009.4920799884547	NaN
1	0.10500000000000001	504.6930359931841	102.83677171956157	292.9809184718421	993.7714220918798	1017.1872057116082	82.99571229317783	1009.526754942775	NaN
1	0.10500000000000001	504.7541447823652	102.75746218989673	293.21816403102605	993.7515055456029	1017.3472046055491	82.89206240152136	1009.570522761476	NaN
1	0.10500000000000001	504.8152535715463	102.67745828413	293.45763821354205	993.7269648946575	1017.506086685238	82.78051524068445	1009.624152150865	NaN
1	0.10500000000000001	504.8763623607274	102.59676771379328	293.6993280426345	993.6975484604015	1017.6638283442012	82.66225449212934	1009.6883123281152	NaN
1	0.10500000000000001	504.9374711499085	102.51539825692713	293.9432201627524	993.6630517419751	1017.8204046603015	82.53849981561942	1009.7635623838355	NaN
1	0.10500000000000001	504.9985799390896	102.43335776771045	294.1893008279225	993.6233182881277	1017.975789708557	82.4104959793324	1009.8503484852099	NaN
1	0.10500000000000001	505.05968872827077	102.35065418475693	294.4375558945472	993.5782401501817	1018.1299568762911	82.27950193499096	1009.9490020777895	NaN
1	0.10500000000000001	505.1207975174519	102.26729553803266	294.68797081860316	993.5277579184542	1018.2828791779228	82.1467799362619	1010.0597390864585	NaN
1	0.10500000000000001	505.18192063420935	102.18327018318251	294.9405901227115	993.4718466093263	1018.434564971484	82.01355361004796	1010.1826903570493	NaN
1	0.10500000000000001	505.2430829017997	102.09855138897737	295.1955038532519	993.4105126306544	1018.5850473394754	81.88100731593757	1010.3179081921933	NaN
1	0.10500000000000001	505.30430804444575	102.01311305999725	295.45280043991414	993.3438014827395	1018.734355026146	81.75030546084122	1010.4653492720208	NaN
1	0.10500000000000001	505.36562339433135	101.92692318593744	295.71258648462657	993.2717916519637	1018.8825240658721	81.62257733426465	1010.6248879390893	NaN
1	0.10500000000000001	505.4270564327034	101.83994860632264	295.97497250476596	993.1945967443314	1019.029589314985	81.49892005536172	1010.796311336296	NaN
1	0.10500000000000001	505.48863533803495	101.7521542531996	296.24007528433424	993.1123638653056	1019.1755858931838	81.38039299640248	1010.9793228121746	NaN
1	0.10500000000000001	505.55038749627886	101.66350529613129	296.50801146328075	993.0252747084697	1019.320545785333	81.26801616545342	1011.173539297308	NaN
1	0.10500000000000001	505.61233900721066	101.57396792915598	296.7788952015984	992.9335457704968	1019.464496956696	81.16276589532914	1011.3784905799246	NaN
1	0.10500000000000001	505.67451366014956	101.48351095801355	297.0528334044029	992.8374294901809	1019.6074613327772	81.06557060748608	1011.5936164901009	NaN
1	0.10500000000000001	505.73693216430706	101.3921070679544	297.3299218852834	992.737215141986	1019.7494535159835	80.97730490129312	1011.8182646043888	NaN
1	0.10500000000000001	505.799611307863	101.29973423489311	297.61024106728576	992.6332297617598	1019.8904794711623	80.89878244753267	1012.051687871797	NaN
1	0.10500000000000001	505.86256324421714	101.2063769873977	297.8938521048855	992.5258386159899	1020.030535633383	80.83074735753402	1012.2930432810766	NaN
1	0.10500000000000001	505.92579490587093	101.11202750857137	298.1807934608821	992.4154449935098	1020.1696084157235	80.7738642282648	1012.5413921012749	NaN
1	0.10500000000000001	505.98930759915106	101.01668648769433	298.4710782138556	992.3024890267119	1020.3076742049275	80.72870716120518	1012.7957023941674	NaN
1	0.10500000000000001	506.0530969124332	100.92036350768947	298.76469275224997	992.187445130661	1020.4447000878727	80.6957482185639	1013.0548547675429	NaN
1	0.10500000000000001	506.11715288310563	100.8230770311933	299.0615966729537	992.0708180337979	1020.5806451257652	80.6753461329903	1013.3176514687623	NaN
1	0.10500000000000001	506.18146053253344	100.72485380158221	299.3617244549997	991.9531371724089	1020.7154623436993	80.66773606569673	1013.5828293622579	NaN
1	0.10500000000000001	506.2460006298363	100.6257278515443	299.66498833399964	991.8349497694644	1020.8491010688917	80.67302134678528	1013.8490760848766	NaN
1	0.10500000000000001	506.31075075785856	100.52573899341294	299.97128277441305	991.7168126371839	1020.9815097130855	80.69116793685806	1014.1150492880889	NaN
1	0.10500000000000001	506.37568646803345	100.42493110805007	300.28048958363763	991.5992833503809	1021.1126385078636	80.72200218582425	1014.3793974877282	NaN
1	0.10500000000000001	506.44078245939005	100.32335033182427	300.59248337064196	991.4829112146919	1021.2424420446708	80.7652120860279	1014.6407815287077	NaN
1	0.10500000000000001	506.5060137189886	100.22104324277007	300.90713704442334	991.3682284561871	1021.370881493943	80.82035195036723	1014.8978956560636	NaN
1	0.10500000000000001	506.57135645182905	100.11805532384369	301.22432649946205	991.255742218292	1021.4979261845043	80.88685007396306	1015.1494868229621	NaN
1	0.10500000000000001	506.6367888881768	100.0144295789687	301.54393486700826	991.145927425283	1021.6235547580184	80.96401891111411	1015.3943720526422	NaN
1	0.10500000000000001	506.7022918332143	99.91020552725523	301.8658556339572	991.0392208933857	1021.7477556780028	81.05106703481604	1015.6314529571454	NaN
1	0.10500000000000001	506.7678490597163	99.80541843026698	302.189995069305	990.9360165843631	1021.870527338094	81.14711232595448	1015.8597276157319	NaN
1	0.10500000000000001	506.8334475555704	99.70009874331552	302.51627398068507	990.8366620006684	1021.9918778307891	81.2511958364418	1016.0782997903593	NaN
1	0.10500000000000001	506.899077626196	99.59427179930545	302.84462876873965	990.7414556882984	1022.1118244127281	81.36229580846269	1016.2863855404828	NaN
1	0.10500000000000001	506.96473295714287	99.48795756211311	303.17501227965084	990.6506456252746	1022.2303928890676	81.47934159496747	1016.4833177213337	NaN
1	0.10500000000000001	507.03041058617396	99.38117053428913	303.5073941901169	990.5644284966933	1022.3476168421007	81.60122707812101	1016.6685483636973	NaN
1	0.10500000000000001	507.0961109125996	99.27391961427716	303.84176155900684	990.482949592885	1022.4635369488077	81.72682356215134	1016.8416495138415	NaN
1	0.10500000000000001	507.161837615033	99.16620811274498	304.17811889285014	990.4063034171536	1022.5782001641026	81.85499172738449	1017.0023123569613	NaN
1	0.10500000000000001	507.2275976009726	99.05803372831227	304.5164883449911	990.3345347406935	1022.6916589981773	81.98459274154936	1017.1503452063027	NaN
1	0.10500000000000001	507.2934009157059	98.9493886006561	304.8569096800998	990.2676401039818	1022.8039707628103	82.11449831903079	1017.285670378948	NaN
1	0.10500000000000001	507.3592606379088	98.84025939666299	305.1994401405727	990.2055696317151	1022.9151968388553	82.24359974960251	1017.4083202670781	NaN
1	0.10500000000000001	507.42519272365365	98.73062749323982	305.5441540134159	990.1482291037943	1023.0254019023572	82.37081583892858	1017.5184327602318	NaN
1	0.10500000000000001	507.49121579486064	98.62046926470593	305.8911418688165	990.0954821847861	1023.1346531070756	82.4950998203752	1017.6162462634348	NaN
1	0.10500000000000001	507.5573508851421	98.50975645434659	306.2405095304977	990.0471527132548	1023.2430192476372	82.61544537791403	1017.7020945547329	NaN
1	0.10500000000000001	507.62362108953374	98.39845672081127	306.59237648706517	990.0030270180642	1023.3505698171703	82.7308918392521	1017.7764016012196	NaN
1	0.10500000000000001	507.6900511158422	98.28653436577683	306.94687371613304	989.9628561926418	1023.4573739607313	82.840528748646	1017.8396765249014	NaN
1	0.10500000000000001	507.7566667563042	98.17395121371197	307.3041410052407	989.9263582736547	1023.5634993580718	82.94350009734991	1017.8925088648344	NaN
1	0.10500000000000001	507.82349419994244	98.06066778055946	307.6643233262332	989.8932203552794	1023.6690109118772	83.03900835763554	1017.9355641318899	NaN
1	0.10500000000000001	507.89055924567197	97.94664463343395	308.0275665609221	989.8631006128536	1023.7739693439247	83.12631872148155	1017.9695797254176	NaN
1	0.10500000000000001	507.9578863157297	97.83184411484727	308.39401201272193	989.8356303343095	1023.8784295470394	83.20476370364507	1017.9953610685377	NaN
1	0.10500000000000001	508.02549737697734	97.71623225260258	308.7637902575226	989.8104159925892	1023.9824388708926	83.27374854808508	1018.0137778628135	NaN
1	0.10500000000000001	508.0934106733077	97.59978102293661	309.1370137838806	989.7870415328865	1024.0860351993229	83.33275754180305	1018.0257601362642	NaN
1	0.10500000000000001	508.1616394338419	97.48247068782786	309.5137692990648	989.7650709807633	1024.1892450831099	83.38136154111251	1018.0322937571145	NaN
1	0.10500000000000001	508.2301905652768	97.36429219089936	309.89410974270174	989.7440515803403	1024.2920819448661	83.4192266292424	1018.0344149080103	NaN
1	0.10500000000000001	508.2990634872512	97.24524933551804	310.27804689269806	989.7235176272284	1024.3945445988309	83.44612372362228	1018.0332029988655	NaN
1	0.10500000000000001	508.36824931558965	97.12536038321794	310.66554574033256	989.7029951298116	1024.4966163841168	83.46193861147536	1018.0297714894466	NaN
1	0.10500000000000001	508.4377305429038	97.00465880002255	311.0565215430525	989.6820073747969	1024.5982651126176	83.46668150450834	1018.0252562191184	NaN
1	0.10500000000000001	508.50748143527335	96.8831927530471	311.4508408883011	989.6600813191264	1024.6994441200823	83.46049493724405	1018.020801111371	NaN
1	0.10500000000000001	508.57746921593906	96.76102321175019	311.84832730696843	989.6367545950973	1024.800094474989	83.443658647281	1018.0175415217388	NaN
1	0.10500000000000001	508.6476559776238	96.63822073396075	312.2487712501484	989.6115827665011	1024.9001482053384	83.41659022734636	1018.0165859621026	NaN
1	0.10500000000000001	508.718001209595	96.51486111795816	312.65194391031224	989.5841463425106	1024.9995323241765	83.3798407488306	1018.0189973302498	NaN
1	0.10500000000000001	508.7884645691776	96.39102055846676	313.0576128618691	989.5540570868029	1025.0981730796775	83.33408526328981	1018.0257749913978	NaN
1	0.10500000000000001	508.85900859645415	96.26677083567344	313.4655578158577	989.5209632046533	1025.1959999796009	83.28010881237134	1018.0378389900335	NaN
