FB	rho	time	Z1	Z2	X1	XC	A	M
1	0.1	0.0	416.6666666666666	72.00000000000001	1000.0	1000.0	83.42386698017545	993.7165994581127	NaN
1	0.1	0.8753250520533681	416.6666666666666	72.00000000000001	1000.0	1000.0	83.4238669584419	993.7165994595896	NaN
1	0.1	2.5231202020049905	416.6666666666666	72.00000000000001	1000.0	1000.0	83.42386696974204	993.7165994865021	NaN
1	0.1	4.795811851238101	416.6666666666666	72.00000000000001	1000.0	1000.0	83.4238669692652	993.7165994632304	NaN
1	0.1	8.160331430293134	416.6666666666666	72.00000000000001	1000.0	1000.0	83.4238669763217	993.7165994768246	NaN
1	0.1	13.181769280868739	416.6666666666666	72.00000000000001	1000.0	1000.0	83.42386697016391	993.7165994779799	NaN
1	0.1	20.972233159209754	416.6666666666666	72.00000000000001	1000.0	1000.0	83.42386696936623	993.7165994757354	NaN
1	0.1	34.04075941733327	416.6666666666666	72.00000000000001	1000.0	1000.0	83.42386697002695	993.7165994742077	NaN
1	0.1	58.30859918422662	416.6666666666666	72.00000000000001	1000.0	1000.0	83.42386696996672	993.716599473341	NaN
1	0.1	111.66398394895947	416.6666666666666	72.00000000000001	1000.0	1000.0	83.4238669697785	993.7165994732183	NaN
1	0.1	275.2023572021858	416.6666666666666	72.00000000000001	1000.0	1000.0	83.42386696976153	993.7165994732329	NaN
1	0.1	500.0	416.6666666666666	72.00000000000001	1000.0	1000.0	83.42386696976197	993.7165994732337	NaN
1	0.10500000000000001	500.0	416.6666666666666	72.00000000000001	1000.0	1000.0	83.42386698017545	993.7165994581127	NaN
1	0.10500000000000001	500.0075397653156	416.6666662243549	72.00004218301983	999.9999946731892	1000.0376846167281	83.4236565442875	993.7166002507245	NaN
1	0.10500000000000001	500.01879275623423	416.66665991219344	72.0002579554145	999.9999669311078	1000.0938755227845	83.42256173436147	993.7166117182732	NaN
1	0.10500000000000001	500.03302639958656	416.6666306388695	72.00078112937312	999.9998979553684	1000.1648594941952	83.41984418003263	993.7166659004934	NaN
1	0.10500000000000001	500.051057303365	416.6665364246306	72.00182156924363	999.9997563582604	1000.2546354773672	83.41427898186107	993.7168444547314	NaN
1	0.10500000000000001	500.07247818073745	416.6663035079606	72.00356714841074	999.99950955498	1000.3610795560443	83.40461212253236	993.7172985374693	NaN
1	0.10500000000000001	500.09746517274834	416.66580907468904	72.00624389048522	999.9991140565991	1000.4849556773929	83.38919352920232	993.7182943215025	NaN
1	0.10500000000000001	500.1257357324642	416.6648844622515	72.01002530072476	999.9985270886818	1000.6247363373377	83.36645188018767	993.7202252115941	NaN
1	0.10500000000000001	500.15720050347926	416.66330529108956	72.01507573608647	999.9976998112006	1000.7798441412418	83.33465408158459	993.7236553593589	NaN
1	0.10500000000000001	500.19161804364967	416.660805682239	72.02150173905257	999.9965849911276	1000.9489463773144	83.29223025699034	993.7293165435069	NaN
