FB	rho	time	Z1	Z2	X1	XC	A	M
1	0.1	0.0	144.72703392932996	207.2867741810349	1000.0	1000.0	83.42386696976199	993.7165994732336	NaN
1	0.1	9.999999999999999e-5	144.72703392932996	207.2867741810349	1000.0	1000.0	83.42386696976199	993.7165994732336	NaN
1	0.1	0.0010999999999999998	144.72703392932996	207.2867741810349	1000.0	1000.0	83.42386696976199	993.7165994732336	NaN
1	0.1	0.011099999999999997	144.72703392932996	207.2867741810349	1000.0	1000.0	83.42386696976199	993.7165994732336	NaN
1	0.1	0.11109999999999996	144.72703392932996	207.2867741810349	1000.0	1000.0	83.42386696976199	993.7165994732336	NaN
1	0.1	1.1110999999999995	144.72703392932996	207.2867741810349	1000.0	1000.0	83.42386696976183	993.7165994732337	NaN
1	0.1	6.897494198849769	144.72703392932996	207.28677418103487	1000.0000000000001	1000.0	83.42386696976187	993.7165994732336	NaN
1	0.1	41.6423696992175	144.7270339293301	207.2867741810347	999.9999999999998	999.9999999999999	83.42386696976196	993.7165994732336	NaN
1	0.1	247.91190168626633	144.72703392932948	207.2867741810356	999.9999999999994	999.9999999999998	83.42386696976197	993.7165994732335	NaN
1	0.1	500.0	144.72703392933005	207.2867741810348	999.9999999999999	1000.0	83.42386696976199	993.7165994732336	NaN
1	0.10500000000000001	500.0	144.72703392932996	207.2867741810349	1000.0	1000.0	83.42386696976199	993.7165994732336	NaN
1	0.10500000000000001	500.0075397751198	144.72703377529987	207.2868166524471	999.9999945850482	1000.0376846656951	83.4236565335229	993.7166002659651	NaN
1	0.10500000000000001	500.02057440817106	144.72703083600464	207.2870883497481	999.9999585813762	1000.1027662573285	83.42230290633542	993.7166155587188	NaN
1	0.10500000000000001	500.0363237129557	144.72701714467905	207.28774575796686	999.9998667805747	1000.1812889445722	83.4190032115021	993.7166878376528	NaN
1	0.10500000000000001	500.0571079692533	144.7269698892289	207.2891514786995	999.9996573208888	1000.2847254004566	83.41188320756193	993.7169420647956	NaN
1	0.10500000000000001	500.0815298001896	144.726851522888	207.29156357298777	999.99926967518	1000.4059897268202	83.39953888253804	993.7175934669879	NaN
1	0.10500000000000001	500.1102312374016	144.7265941314871	207.29541414293456	999.9985969299629	1000.5481244397719	83.37961480146109	993.7190474299475	NaN
1	0.10500000000000001	500.1424368342511	144.7261106723361	207.3009950053324	999.9975309404175	1000.707124534147	83.35041582752655	993.7218587827272	NaN
1	0.10500000000000001	500.17807102567707	144.72528284959844	207.30866423059516	999.9959247594222	1000.8824510459024	83.30986835950945	993.7268254018444	NaN
1	0.10500000000000001	500.21660513450905	144.72398038865916	207.31865559648557	999.993628491025	1001.0713360526312	83.25655377710765	993.7349006460098	NaN
1	0.10500000000000001	500.25774563702714	144.7220565896206	207.3311946973131	999.9904693475538	1001.2721835272075	83.18914687804889	993.747238370287	NaN
1	0.10500000000000001	500.3010893918771	144.71936607891382	207.34641740786603	999.9862750348752	1001.4828786600123	83.10689614108105	993.7650934360872	NaN
1	0.10500000000000001	500.34632683262726	144.715764838174	207.3644272182807	999.9808668370283	1001.701784576254	83.0093566309094	993.7898202512398	NaN
1	0.10500000000000001	500.39314495703286	144.71112122920036	207.38527070810977	999.974073302565	1001.927269260034	82.89654912562358	993.8227891816657	NaN
1	0.10500000000000001	500.44128405420673	144.70531622473433	207.40896612075576	999.9657291261589	1002.1579797349283	82.76881933213745	993.8653651358154	NaN
1	0.10500000000000001	500.4905082233597	144.69824800918317	207.43549988684632	999.9556825302516	1002.392697504785	82.62685761987059	993.9188499204444	NaN
1	0.10500000000000001	500.54061851280755	144.68983108269632	207.46484085603112	999.9437958283892	1002.6303992874148	82.47161279275313	993.9844601859371	NaN
1	0.10500000000000001	500.5914434701886	144.67999659472548	207.49694323825747	999.9299485393592	1002.8702090473301	82.30425947489424	994.0632961341273	NaN
1	0.10500000000000001	500.64284297550057	144.66868976282663	207.53175597394423	999.9140366550324	1003.1114132608787	82.12612739684103	994.1563345293442	NaN
1	0.10500000000000001	500.69469918585054	144.65586909380414	207.56922328612774	999.8959744093618	1003.3534153452815	81.93867554288634	994.2644107802191	NaN
1	0.10500000000000001	500.74691772336973	144.64150344873224	207.60929063733704	999.8756927511391	1003.595738702797	81.74343860700236	994.3882224229158	NaN
1	0.10500000000000001	500.7994233979586	144.6255701983633	207.65190627352905	999.8531389771081	1003.8380042952211	81.54199818142298	994.5283281822727	NaN
1	0.10500000000000001	500.85215838451984	144.60805296743317	207.69702365087178	999.8282753688252	1004.079920020994	81.33595220005363	994.6851546351506	NaN
1	0.10500000000000001	500.90507942244614	144.58893989795928	207.74460239267142	999.801078157542	1004.3212658636022	81.12689462178754	994.8590021216722	NaN
1	0.10500000000000001	500.9581557768279	144.56822201271856	207.7946091931013	999.7715362700998	1004.5618828793182	80.91639831065156	995.0500528463281	NaN
1	0.10500000000000001	501.01136710008336	144.54589195628336	207.84701806319393	999.7396503076146	1004.801662027585	80.70600358305633	995.2583780425872	NaN
1	0.10500000000000001	501.064701649347	144.52194295811265	207.9018103898656	999.7054315978165	1005.040534908139	80.4972097554274	995.4839449518986	NaN
1	0.10500000000000001	501.1181546040559	144.49636809016715	207.9589746523615	999.6689014804557	1005.278465211836	80.2914697859322	995.7266224093721	NaN
1	0.10500000000000001	501.17172660399206	144.4691597443647	208.018505973902	999.6300907659167	1005.515441403119	80.09018666774304	995.9861852907378	NaN
1	0.10500000000000001	501.2254224192447	144.44030933538255	208.08040547760066	999.589039409718	1005.7514702090527	79.89471112950577	996.2623174572389	NaN
1	0.10500000000000001	501.27924977513595	144.40980718625292	208.1446795185067	999.545796364784	1005.9865709941241	79.70633985485955	996.5546134049938	NaN
1	0.10500000000000001	501.3332183095775	144.37764257449493	208.21133881170732	999.5004195909552	1006.2207708968959	79.5263137209899	996.8625787452771	NaN
1	0.10500000000000001	501.38733862756175	144.3438039290975	208.28039745065416	999.4529762086945	1006.4541005541063	79.35581569749822	997.1856296159307	NaN
1	0.10500000000000001	501.44162149546463	144.3082791246236	208.35187190133763	999.4035427133786	1006.6865905780601	79.19596789663295	997.5230916252001	NaN
1	0.10500000000000001	501.4960771283855	144.2710558714821	208.42577994768365	999.352205235294	1006.9182685636143	79.0478276950365	997.874198481698	NaN
1	0.10500000000000001	501.550714610343	144.23212214988843	208.50213967043712	999.2990597547218	1007.1491567757599	78.91238268889215	998.2380909904997	NaN
1	0.10500000000000001	501.60554142689347	144.19146667194505	208.58096846636755	999.2442122330475	1007.3792704070339	78.79054456670573	998.6138167508195	NaN
1	0.10500000000000001	501.66056316319606	144.14907930401017	208.662282217737	999.1877785526294	1007.6086166030847	78.68314192763295	999.0003313562187	NaN
1	0.10500000000000001	501.7157833271854	144.10495144589092	208.7460945951525	999.1298842531152	1007.8371940566204	78.59091243917626	999.3965012394058	NaN
1	0.10500000000000001	501.7712033232868	144.05907631794904	208.83241656758133	999.0706639984526	1008.0649932479643	78.51449465158964	999.801108653469	NaN
1	0.10500000000000001	501.8268225807608	144.0114491205709	208.92125616676924	999.0102607394322	1008.2919973171511	78.4544199328054	1000.212859049438	NaN
1	0.10500000000000001	501.88263879993684	143.962067066884	209.01261848677893	998.9488245953854	1008.5181833862531	78.41110506782444	1000.6303906814005	NaN
1	0.10500000000000001	501.9386482820364	143.9109292963374	209.10650589169433	998.8865114944265	1008.7435241687762	78.38484598947962	1001.0522861386547	NaN
1	0.10500000000000001	501.9948462995384	143.85803669345617	209.20291837839514	998.8234816364745	1008.9679896762129	78.3758130046006	1001.4770853167188	NaN
1	0.10500000000000001	502.0512274963476	143.8033916144801	209.30185408500398	998.7598978182837	1009.1915489698042	78.38404774152484	1001.9032994957192	NaN
1	0.10500000000000001	502.10778620504954	143.7469976304733	209.40330974727226	998.6959237809031	1009.4141715085773	78.40946190194921	1002.3294253779511	NaN
1	0.10500000000000001	502.1645167054701	143.6888592785557	209.50728112367798	998.6317225880089	1009.6358282044074	78.45183769399794	1002.7539589773235	NaN
1	0.10500000000000001	502.2214133473872	143.628981915495	209.61376322614927	998.5674551523651	1009.8564918978874	78.5108297185228	1003.1754085435806	NaN
1	0.10500000000000001	502.27847057639553	143.5673716576468	209.72275039386426	998.503278888662	1010.07613743226	78.58596804808843	1003.5923066588531	NaN
1	0.10500000000000001	502.33568281939944	143.50403547471242	209.83423609771884	998.4393465547433	1010.2947411794827	78.67666218615503	1004.0032211127433	NaN
1	0.10500000000000001	502.39304428470456	143.43898140074333	209.9482125477273	998.3758052234028	1010.5122802543453	78.78220571721509	1004.4067649709807	NaN
1	0.10500000000000001	502.4505487024005	143.37221884774837	210.06467013314852	998.3127953551998	1010.728731529816	78.90178154792434	1004.8016060637866	NaN
1	0.10500000000000001	502.50818904286075	143.3037589867731	210.18359675859855	998.250449928364	1010.9440706057221	79.03446775634274	1005.1864762023307	NaN
1	0.10500000000000001	502.56595728266075	143.23361511434732	210.30497721789322	998.1888935520071	1011.158270990301	79.17924424616321	1005.5601805843629	NaN
1	0.10500000000000001	502.62384423839774	143.16180296868856	210.42879266307943	998.128241551108	1011.3713035595861	79.33500038441152	1005.9216074117936	NaN
