tspan	bP	bD	bI	CoRaDyn(bC)
500.0	0.14583333333333334	0.16666666666666666	0.02	0.06511626931124788
500.0	0.16666666666666666	0.16666666666666666	0.02	0.06377899724627513
500.0	0.1875	0.16666666666666666	0.02	0.06249662616826189
500.0	0.20833333333333334	0.16666666666666666	0.02	0.061265280126554134
500.0	0.22916666666666666	0.16666666666666666	0.02	0.060081444816149514
500.0	0.25	0.16666666666666666	0.02	0.05894263159962594
500.0	0.2708333333333333	0.16666666666666666	0.02	0.057847689179789476
500.0	0.2916666666666667	0.16666666666666666	0.02	0.05679447275026446
500.0	0.3125	0.16666666666666666	0.02	0.05578201050289007
500.0	0.3333333333333333	0.16666666666666666	0.02	0.05480743343218132
500.0	0.3541666666666667	0.16666666666666666	0.02	0.053869275145864245
500.0	0.375	0.16666666666666666	0.02	0.05296864561302955
500.0	0.3958333333333333	0.16666666666666666	0.02	0.05210236433335265
500.0	0.4166666666666667	0.16666666666666666	0.02	0.051272578753100075
500.0	0.4375	0.16666666666666666	0.02	0.050477447014033616
500.0	0.4583333333333333	0.16666666666666666	0.02	0.04971819025547266
500.0	0.4791666666666667	0.16666666666666666	0.02	0.048993776382537345
500.0	0.5	0.16666666666666666	0.02	0.04837842617110765
500.0	0.0	0.2	0.02	0.07621301003436108
500.0	0.020833333333333332	0.2	0.02	0.0744070166843727
500.0	0.041666666666666664	0.2	0.02	0.07268286878627565
500.0	0.0625	0.2	0.02	0.0710384693142371
500.0	0.08333333333333333	0.2	0.02	0.06946417243161739
500.0	0.10416666666666667	0.2	0.02	0.06795749934078892
500.0	0.125	0.2	0.02	0.06651204604935294
500.0	0.14583333333333334	0.2	0.02	0.06512588257788653
500.0	0.16666666666666666	0.2	0.02	0.0637969254894187
500.0	0.1875	0.2	0.02	0.06252373732932213
500.0	0.20833333333333334	0.2	0.02	0.061297230254956835
500.0	0.22916666666666666	0.2	0.02	0.06012075328861426
500.0	0.25	0.2	0.02	0.05898938910304216
500.0	0.2708333333333333	0.2	0.02	0.05790154974080998
500.0	0.2916666666666667	0.2	0.02	0.05685621307534208
500.0	0.3125	0.2	0.02	0.05584865365614294
500.0	0.3333333333333333	0.2	0.02	0.054881967009880836
500.0	0.3541666666666667	0.2	0.02	0.05395240908338562
500.0	0.375	0.2	0.02	0.05305832084253219
500.0	0.3958333333333333	0.2	0.02	0.05220332154735519
500.0	0.4166666666666667	0.2	0.02	0.05138626136891724
500.0	0.4375	0.2	0.02	0.05060373610428593
500.0	0.4583333333333333	0.2	0.02	0.04985791537352751
500.0	0.4791666666666667	0.2	0.02	0.04919524782996572
500.0	0.5	0.2	0.02	0.04963862847450461
500.0	0.0	0.23333333333333334	0.02	0.07616444579069635
500.0	0.020833333333333332	0.23333333333333334	0.02	0.07437077494175658
500.0	0.041666666666666664	0.23333333333333334	0.02	0.07265872367969405
500.0	0.0625	0.23333333333333334	0.02	0.07102256283554863
500.0	0.08333333333333333	0.23333333333333334	0.02	0.06945767012894859
500.0	0.10416666666666667	0.23333333333333334	0.02	0.06795901693226251
500.0	0.125	0.23333333333333334	0.02	0.0665225651970498
500.0	0.14583333333333334	0.23333333333333334	0.02	0.06514404329578743
500.0	0.16666666666666666	0.23333333333333334	0.02	0.06382401215368023
500.0	0.1875	0.23333333333333334	0.02	0.06255735069445204
