tspan	CoRaDyn(bC)
1.0	0.9989062840747001
1.7028861970519966	0.9955513980709523
2.899821400110211	0.9846683320673725
4.938065836163673	0.9630607875121112
8.408964152537145	0.9307732465254533
14.319508986860544	0.8625639506210537
24.384494202286838	0.6903417499387899
41.52401859916869	0.4269080342243808
70.71067811865474	0.35546201373640607
120.4122377524438	0.2750039527850049
205.0483376247799	0.19781979009359466
349.17398386969523	0.12702682070362448
594.6035575013605	0.07603116065774253
1012.5421907870799	0.044482296422901656
1724.2441206241076	0.026017506472225314
2936.1915133588504	0.015242224491690777
4999.999999999999	0.00893836321615386
