tspan	CoRaDyn(bC)
1.0	0.9998403704750877
1.7028861970519966	0.999546967539845
2.899821400110211	0.998729907339923
4.938065836163673	0.9965422358709219
8.408964152537145	0.9910607989623977
14.319508986860544	0.978431298933653
24.384494202286838	0.9532248905802255
41.52401859916869	0.9424249942034325
70.71067811865474	0.8806564110225066
120.4122377524438	0.8257821154227981
205.0483376247799	0.7325661247266471
349.17398386969523	0.6498156982004117
594.6035575013605	0.5939631787833736
1012.5421907870799	0.5735584261494426
1724.2441206241076	0.5712165022813098
2936.1915133588504	0.5711619587706176
4999.999999999999	0.5711618660711796
