tspan	CoRaDyn(bC)
1.0	0.9990798984859404
1.7028861970519966	0.9960906402547821
2.899821400110211	0.9863977342853705
4.938065836163673	0.9689029733805208
8.408964152537145	0.9514183824494932
14.319508986860544	0.936452249976244
24.384494202286838	0.9425134161845802
41.52401859916869	0.9082381371193751
70.71067811865474	0.9149282981601315
120.4122377524438	0.8557887463725607
205.0483376247799	0.8494104275615861
349.17398386969523	0.8100912461404458
594.6035575013605	0.7904986987108361
1012.5421907870799	0.7866496960465619
1724.2441206241076	0.7864603996375844
2936.1915133588504	0.7864596564770432
4999.999999999999	0.7864596563154121
