tspan	bP	bD	CoRaDyn(bC)
0.1	0.0	0.0	0.9999999925868392
0.1046194325112993	0.0	0.0	0.9999999913070757
0.10945225658986313	0.0	0.0	0.9999999897828186
0.114508329715126	0.0	0.0	0.9999999879706126
0.11979796472613237	0.0	0.0	0.9999999858192954
0.1253319508565662	0.0	0.0	0.9999999832685997
0.13112157574148012	0.0	0.0	0.9999999802476488
0.13717864844060998	0.0	0.0	0.9999999766731543
0.1435155235252365	0.0	0.0	0.9999999724472006
0.15014512627772272	0.0	0.0	0.9999999674549265
0.15708097905512725	0.0	0.0	0.9999999615616448
0.16433722887066707	0.0	0.0	0.9999999546094842
0.171928676249287	0.0	0.0	0.9999999464135425
0.17987080541619316	0.0	0.0	0.9999999367574064
0.1881798158799247	0.0	0.0	0.9999999253879831
0.19687265547438512	0.0	0.0	0.999999912009445
0.2059670549272272	0.0	0.0	0.9999998962762741
0.2154815640251012	0.0	0.0	0.9999998777851695
0.225435589449533	0.0	0.0	0.9999998560657117
0.23584943436060396	0.0	0.0	0.9999998305695607
0.24674433980917324	0.0	0.0	0.9999998006579468
0.2581425280621091	0.0	0.0	0.9999997655872624
0.2700672479289001	0.0	0.0	0.9999997244924077
0.28254282218209903	0.0	0.0	0.9999996763675886
0.29559469716832154	0.0	0.0	0.999999620044133
0.3092494947109918	0.0	0.0	0.999999554164954
0.3235350664107001	0.0	0.0	0.9999994771551426
0.3384805504539299	0.0	0.0	0.9999993871880986
0.3541164310460236	0.0	0.0	0.9999992821465201
0.37047460058961645	0.0	0.0	0.9999991595775061
0.3875884247353594	0.0	0.0	0.999999016640976
0.40549281043761753	0.0	0.0	0.9999988500503009
0.4242242771539541	0.0	0.0	0.999998656004094
0.44382103133362844	0.0	0.0	0.9999984301078219
0.46432304434703797	0.0	0.0	0.9999981672837549
0.4857721340150598	0.0	0.0	0.999997861667588
0.508212049904584	0.0	0.0	0.9999975064897422
0.5316885625642169	0.0	0.0	0.9999970939391211
0.5562495568821684	0.0	0.0	0.9999966150068067
0.5819451297567417	0.0	0.0	0.9999960593067655
0.6088276922786476	0.0	0.0	0.9999954148702244
0.6369520766335609	0.0	0.0	0.9999946679099344
0.6663756479429677	0.0	0.0	0.9999938025499581
0.6971584212714266	0.0	0.0	0.999992800516027
0.7293631840389	0.0	0.0	0.999991640780801
0.7630556240878408	0.0	0.0	0.9999902991575581
0.7983044636662523	0.0	0.0	0.9999887478349158
0.8351815996000048	0.0	0.0	0.9999869548441727
0.8737622499403171	0.0	0.0	0.9999848834496636
0.9141251073855206	0.0	0.0	0.9999824914511589
0.9563524997900371	0.0	0.0	0.9999797303858056
1.0005305580879618	0.0	0.0	0.9999765446153808
1.0467493919737616	0.0	0.0	0.9999728704977907
1.0951032736984254	0.0	0.0	0.9999686470710141
1.1456908303559536	0.0	0.0	0.999963778550652
1.1986152450523917	0.0	0.0	0.9999581658596752
1.2539844673677318	0.0	0.0	0.9999517047796657
1.3119114335399604	0.0	0.0	0.9999442616237612
1.372514296820358	0.0	0.0	0.9999357001617677
1.435916668469909	0.0	0.0	0.9999258449066611
1.502247869888374	0.0	0.0	0.9999145166857178
1.571643196390299	0.0	0.0	0.9999014869500829
1.6442441931659761	0.0	0.0	0.999886517627484
1.7201989439902365	0.0	0.0	0.9998693141155703
1.7996623732679489	0.0	0.0	0.9998495581256773
1.8827965620323095	0.0	0.0	0.9998268715396432
1.9697710785404559	0.0	0.0	0.9998008309581542
2.0607633241407246	0.0	0.0	0.9997709476053644
2.155958895117014	0.0	0.0	0.9997366656665897
2.255551961248299	0.0	0.0	0.9996973487905365
2.359745661855452	0.0	0.0	0.9996522709508342
2.468752520143178	0.0	0.0	0.9996006029360807
2.5827948766821933	0.0	0.0	0.9995413984936738
2.7021053429158233	0.0	0.0	0.9994735779343547
2.826927275616033	0.0	0.0	0.9993959098090917
2.957515273256628	0.0	0.0	0.9993069900190384
3.094135695316087	0.0	0.0	0.9992052181802997
3.237067205569236	0.0	0.0	0.9990887708418619
3.3866013404759094	0.0	0.0	0.9989555711712113
3.543043103825952	0.0	0.0	0.998803254717736
3.7067115888534365	0.0	0.0	0.9986291306549875
3.8779406290890313	0.0	0.0	0.9984301384628733
4.057079479278055	0.0	0.0	0.9982028517207955
4.244493527753079	0.0	0.0	0.9979432435461111
4.4405650417141	0.0	0.0	0.9976468555203536
4.645693946936433	0.0	0.0	0.9973085671142468
4.860298643496678	0.0	0.0	0.9969225766469451
5.084816859180605	0.0	0.0	0.9964823763803298
5.319706542313622	0.0	0.0	0.9959804666157227
5.5654467958349745	0.0	0.0	0.995408283081977
5.8225388545208405	0.0	0.0	0.9947565846614134
6.091507107349612	0.0	0.0	0.9940143290461744
6.372900167094628	0.0	0.0	0.9931695429246594
6.667291989326045	0.0	0.0	0.992208503280108
6.975283043104228	0.0	0.0	0.9911154593913124
7.297501535752533	0.0	0.0	0.9898728684074269
7.634604694207653	0.0	0.0	0.988461108509731
7.987280105561064	0.0	0.0	0.986857849089544
8.356247119525895	0.0	0.0	0.9850382598465073
8.742258315689787	0.0	0.0	0.9829743917583796
9.146101038546528	0.0	0.0	0.9806348960084313
9.568599003437432	0.0	0.0	0.9779847701090983
10.010613976678084	0.0	0.0	0.9749845485613609
10.473047533297422	0.0	0.0	0.9715908025475732
10.956842895974395	0.0	0.0	0.9677546778175912
11.462986858923028	0.0	0.0	0.9634221814583745
11.992511800650082	0.0	0.0	0.9585333041174402
12.54649778969072	0.0	0.0	0.9530219572205731
13.126074787617146	0.0	0.0	0.946815216897084
13.732424953813796	0.0	0.0	0.939833228686161
14.366785056720046	0.0	0.0	0.9319881314155828
15.030448996458666	0.0	0.0	0.9231844902200436
15.724770443995341	0.0	0.0	0.9133186477053933
16.45116560221244	0.0	0.0	0.902279067879245
17.211116094528737	0.0	0.0	0.8899459545070153
18.00617198695687	0.0	0.0	0.8761920252411723
18.83795494976283	0.0	0.0	0.860882954404284
19.70816156517608	0.0	0.0	0.843878798910507
20.618566787897226	0.0	0.0	0.825035187726102
21.571027565461318	0.0	0.0	0.8042061254517087
22.567486625841564	0.0	0.0	0.7812466570979997
23.60997644001882	0.0	0.0	0.7560170781372292
24.70062336759916	0.0	0.0	0.7283879696765602
25.841651993935635	0.0	0.0	0.6982466653011661
27.035389667600317	0.0	0.0	0.6655049419691345
28.284271247461906	0.0	0.0	0.6301085022493526
29.59084406905125	0.0	0.0	0.5929571072980039
30.95777314034488	0.0	0.0	0.5619306062457354
32.38784657756426	0.0	0.0	0.5384162514646396
33.88398129207801	0.0	0.0	0.5218138002448349
35.44922894000685	0.0	0.0	0.5114507919800206
37.08678214666644	0.0	0.0	0.506563645632177
38.7999810185443	0.0	0.0	0.5062822132562107
40.59231995609291	0.0	0.0	0.5096156096099133
42.46745478123529	0.0	0.0	0.515446410628347
44.42921019412101	0.0	0.0	0.522533966207283
46.48158757434176	0.0	0.0	0.5295308647191218
48.62877314251897	0.0	0.0	0.5350129855603946
50.87514649891046	0.0	0.0	0.5375343208061735
53.225289556452296	0.0	0.0	0.5356969788699397
55.68399588645626	0.0	0.0	0.5282450959349617
58.256280496025774	0.0	0.0	0.5141733959671181
60.94739005713292	0.0	0.0	0.4928518473891797
63.76281360822053	0.0	0.0	0.47041609234598597
66.70829375015786	0.0	0.0	0.45768257594201045
69.78983835938568	0.0	0.0	0.4535473870233401
73.0137328421424	0.0	0.0	0.4559565416330187
76.38655295476556	0.0	0.0	0.46220101141693903
79.91517821621885	0.0	0.0	0.46905299523356825
83.60680594020165	0.0	0.0	0.4730074402449752
87.46896591546228	0.0	0.0	0.4706484307821893
91.50953576425847	0.0	0.0	0.4591424339761454
95.73675701029167	0.0	0.0	0.43958062213999455
100.15925188888872	0.0	0.0	0.4297061035746788
104.78604093371824	0.0	0.0	0.4305837958392777
109.62656137591384	0.0	0.0	0.4375437121193692
114.69068639313232	0.0	0.0	0.4442414260150513
119.98874524780891	0.0	0.0	0.44394806606436504
125.53154435568634	0.0	0.0	0.4313876919095733
131.33038932758905	0.0	0.0	0.4171232737453702
137.39710802940368	0.0	0.0	0.416518472620927
143.744074707299	0.0	0.0	0.42267226030730054
150.38423522739438	0.0	0.0	0.42583251254784577
157.3311334813575	0.0	0.0	0.4167531582562064
164.59893901179092	0.0	0.0	0.4039509677686484
172.20247591375534	0.0	0.0	0.40616290624168566
180.15725307137777	0.0	0.0	0.4121541820126613
188.47949579122078	0.0	0.0	0.4074150738909194
197.1861788969335	0.0	0.0	0.39478806424716323
206.2950613526873	0.0	0.0	0.3972113239158775
215.82472248601826	0.0	0.0	0.4001934242116674
225.7945998839587	0.0	0.0	0.38845017114130975
236.22502903975655	0.0	0.0	0.3865706168977778
247.13728483104535	0.0	0.0	0.39074857627065906
258.55362491407305	0.0	0.0	0.3801749381554613
270.4973351224967	0.0	0.0	0.3792667552583946
282.9927769633436	0.0	0.0	0.3801587019402141
296.06543730701713	0.0	0.0	0.3700169145555537
309.7419803726977	0.0	0.0	0.3733964224516951
324.05030211517646	0.0	0.0	0.36467166796314787
339.01958712404866	0.0	0.0	0.36512196880660913
354.68036815132973	0.0	0.0	0.3587000047252464
371.0645883889084	0.0	0.0	0.3579880231502531
388.20566662286467	0.0	0.0	0.35154378768428685
406.1385653975476	0.0	0.0	0.35141074142133755
424.89986232844615	0.0	0.0	0.3437154698035372
444.5278247093125	0.0	0.0	0.34402940543416316
465.0624875657062	0.0	0.0	0.3380722664004614
486.54573531417384	0.0	0.0	0.332586017889444
509.02138719361716	0.0	0.0	0.3317327173635928
532.535286643106	0.0	0.0	0.3265704875574776
557.1353948084381	0.0	0.0	0.32059342405905306
582.8718883681751	0.0	0.0	0.31633808665585117
609.7972618786788	0.0	0.0	0.31332536852711107
637.9664348469156	0.0	0.0	0.3095291471289105
667.4368637494114	0.0	0.0	0.30479549755059804
698.2686592258483	0.0	0.0	0.2999507904537951
730.524708686341	0.0	0.0	0.2950323749964321
764.2708045824718	0.0	0.0	0.2901735027370631
799.5757786037235	0.0	0.0	0.2850678132482338
836.5116420730187	0.0	0.0	0.2794663322267119
875.1537328277436	0.0	0.0	0.27351633936481623
915.5808688858381	0.0	0.0	0.26864489935012104
957.8755092103873	0.0	0.0	0.2640686737679491
1002.1239219006261	0.0	0.0	0.2578226902153515
1048.4163601524103	0.0	0.0	0.2527645535094156
1096.8472463470719	0.0	0.0	0.24708567690477104
1147.5153646441202	0.0	0.0	0.2417557938157969
1200.5240624706457	0.0	0.0	0.23561922272591346
1255.9814613183862	0.0	0.0	0.2303714057873067
1314.0006772784202	0.0	0.0	0.22477333204769828
1374.7000517633128	0.0	0.0	0.21890534854357002
1438.2033928873145	0.0	0.0	0.21307315248521486
1504.6402279969614	0.0	0.0	0.2073081228301295
1574.1460678671413	0.0	0.0	0.20153513336617493
1646.862683101536	0.0	0.0	0.19552276451034048
1722.9383933011848	0.0	0.0	0.18970632144395383
1802.5283695909982	0.0	0.0	0.1840969837845404
1885.7949511212785	0.0	0.0	0.17821574456193928
1972.9079761898142	0.0	0.0	0.17247374697919882
2064.045128659944	0.0	0.0	0.16691170129727909
2159.3923003811515	0.0	0.0	0.1613166797352997
2259.143970351453	0.0	0.0	0.15573995392891474
2363.5036013949266	0.0	0.0	0.15021736431397514
2472.6840551634946	0.0	0.0	0.14489226118666923
2586.9080263094315	0.0	0.0	0.139556964661614
2706.4084967141785	0.0	0.0	0.13441090718454404
2831.429210699961	0.0	0.0	0.12931205672868876
2962.225172193461	0.0	0.0	0.12433168309050253
3099.063164855658	0.0	0.0	0.11945860153566881
3242.2222962387027	0.0	0.0	0.1147075424706854
3391.994567079749	0.0	0.0	0.11010216186719493
3548.6854668929377	0.0	0.0	0.10563075439243515
3712.614597074341	0.0	0.0	0.10128172235160227
3884.116322790838	0.0	0.0	0.09706470358386621
4063.5404549825216	0.0	0.0	0.09300280341453943
4251.252963869785	0.0	0.0	0.08906853618242205
4447.636725420362	0.0	0.0	0.08527616838043339
4653.092302298919	0.0	0.0	0.08161962436032232
4868.038760892083	0.0	0.0	0.0781039196117504
5092.914526075379	0.0	0.0	0.0747218793061606
5328.1782754655915	0.0	0.0	0.07147343110692447
5574.309874982438	0.0	0.0	0.06835515976681486
5831.811357627945	0.0	0.0	0.06536477248478095
6101.2079474798575	0.0	0.0	0.06249886612238759
6383.049130987721	0.0	0.0	0.059752893650076966
6677.909777756777	0.0	0.0	0.057123831948207
6986.3913131057025	0.0	0.0	0.054607212156593005
7309.1229447899	0.0	0.0	0.05219943743478783
7646.762946392364	0.0	0.0	0.04989627191191065
8000.000000000004	0.0	0.0	0.04769351005558149
0.1	0.5	0.0	0.9999965865583244
0.1046194325112993	0.5	0.0	0.9999962888871318
0.10945225658986313	0.5	0.0	0.9999959609848914
0.114508329715126	0.5	0.0	0.9999956001806439
0.11979796472613237	0.5	0.0	0.9999952035352574
0.1253319508565662	0.5	0.0	0.999994767817345
0.13112157574148012	0.5	0.0	0.9999942894768186
0.13717864844060998	0.5	0.0	0.9999937646158514
0.1435155235252365	0.5	0.0	0.9999931889569023
0.15014512627772272	0.5	0.0	0.9999925578077179
0.15708097905512725	0.5	0.0	0.9999918660228374
0.16433722887066707	0.5	0.0	0.9999911079612387
0.171928676249287	0.5	0.0	0.9999902774399387
0.17987080541619316	0.5	0.0	0.9999893676831533
0.1881798158799247	0.5	0.0	0.9999883712664172
0.19687265547438512	0.5	0.0	0.9999872800552355
0.2059670549272272	0.5	0.0	0.999986085137861
0.2154815640251012	0.5	0.0	0.99998477675149
0.225435589449533	0.5	0.0	0.9999833442012119
0.23584943436060396	0.5	0.0	0.9999817757711493
0.24674433980917324	0.5	0.0	0.9999800586268808
0.2581425280621091	0.5	0.0	0.9999781787082587
0.2700672479289001	0.5	0.0	0.9999761206118208
0.28254282218209903	0.5	0.0	0.9999738674616151
0.29559469716832154	0.5	0.0	0.9999714007672648
0.3092494947109918	0.5	0.0	0.9999687002680682
0.3235350664107001	0.5	0.0	0.9999657437617198
0.3384805504539299	0.5	0.0	0.9999625069159889
0.3541164310460236	0.5	0.0	0.9999589630616839
0.37047460058961645	0.5	0.0	0.9999550829650099
0.3875884247353594	0.5	0.0	0.9999508345771362
0.40549281043761753	0.5	0.0	0.9999461827586361
0.4242242771539541	0.5	0.0	0.9999410889762311
0.44382103133362844	0.5	0.0	0.9999355109689473
0.46432304434703797	0.5	0.0	0.9999294023804455
0.4857721340150598	0.5	0.0	0.9999227123540307
0.508212049904584	0.5	0.0	0.9999153850864343
0.5316885625642169	0.5	0.0	0.999907359335988
0.5562495568821684	0.5	0.0	0.99989856788038
0.5819451297567417	0.5	0.0	0.9998889369186614
0.6088276922786476	0.5	0.0	0.9998783854115679
0.6369520766335609	0.5	0.0	0.9998668243535698
0.6663756479429677	0.5	0.0	0.999854155969381
0.6971584212714266	0.5	0.0	0.9998402728268162
0.7293631840389	0.5	0.0	0.9998250568569859
0.7630556240878408	0.5	0.0	0.99980837827187
0.7983044636662523	0.5	0.0	0.9997900943681703
0.8351815996000048	0.5	0.0	0.9997700482051286
0.8737622499403171	0.5	0.0	0.9997480671426321
0.9141251073855206	0.5	0.0	0.9997239612243999
